Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
B6,2/15/2021,906,N348JB,JFK,10:27,10:40,130,143,13,11:26,46,13,0,13,0,0
B6,2/16/2021,312,N346JB,BOS,11:31,11:23,131,140,-8,11:54,31,0,0,0,0,0
B6,2/17/2021,312,N354JB,BOS,11:31,11:21,131,111,-10,11:34,13,0,0,0,0,0
B6,2/18/2021,312,N273JB,BOS,11:31,11:44,131,153,13,12:36,52,0,0,22,0,13
B6,2/18/2021,563,N975JT,FLL,6:00,6:00,187,252,0,6:58,58,0,0,65,0,0
B6,2/18/2021,906,N281JB,JFK,10:27,0:00,130,0,0,0:00,0,0,0,0,0,0
B6,2/19/2021,312,N284JB,BOS,11:31,12:11,131,122,40,12:23,12,2,0,0,0,29
B6,2/19/2021,563,N907JB,FLL,6:00,5:47,187,198,-13,6:03,16,0,0,0,0,0
B6,2/19/2021,906,N187JB,JFK,10:27,10:33,130,115,6,10:46,13,0,0,0,0,0
B6,2/20/2021,312,N247JB,BOS,11:31,11:18,131,126,-13,11:33,15,0,0,0,0,0
B6,2/20/2021,563,N903JB,FLL,6:00,6:23,187,200,23,6:52,29,23,0,13,0,0
B6,2/21/2021,312,N236JB,BOS,11:31,11:37,131,118,6,11:49,12,0,0,0,0,0
B6,2/21/2021,563,N952JB,FLL,6:00,5:51,187,185,-9,6:16,25,0,0,0,0,0
B6,2/21/2021,906,N351JB,JFK,10:27,10:47,130,111,20,11:05,18,0,0,0,0,0
B6,2/22/2021,312,N228JB,BOS,11:31,11:18,131,121,-13,11:30,12,0,0,0,0,0
B6,2/22/2021,563,N996JL,FLL,6:00,5:42,187,173,-18,5:55,13,0,0,0,0,0
