Date,MaxT,MinT,AvgT,Tdeparture,HDD,CDD,Precipitation,New Snow,Snow Depth
4/30/2021,56,43,49.5,-6.9,15,0,0,0,0
5/1/2021,83,43,63,6.3,2,0,0,0,0
5/2/2021,84,62,73,15.9,0,8,0.01,0,0
5/3/2021,71,56,63.5,6,1,0,0.19,0,0
5/4/2021,58,47,52.5,-5.3,12,0,0.03,0,0
5/5/2021,59,42,50.5,-7.7,14,0,0,0,0
5/6/2021,56,44,50,-8.5,15,0,0.02,0,0
5/7/2021,60,42,51,-7.9,14,0,T,0,0
5/8/2021,52,37,44.5,-14.7,20,0,0.45,0,0
5/9/2021,56,40,48,-11.6,17,0,1.01,0,0
5/10/2021,51,39,45,-14.9,20,0,T,0,0
5/11/2021,53,37,45,-15.3,20,0,0,0,0
5/12/2021,60,38,49,-11.6,16,0,0,0,0
5/13/2021,70,41,55.5,-5.5,9,0,0,0,0
5/14/2021,71,47,59,-2.3,6,0,0,0,0
5/15/2021,61,54,57.5,-4.1,7,0,0.13,0,0
5/16/2021,72,54,63,1,2,0,0,0,0
5/17/2021,70,57,63.5,1.2,1,0,0,0,0
5/18/2021,75,59,67,4.3,0,2,0.05,0,0
5/19/2021,74,64,69,6,0,4,0.09,0,0
5/20/2021,85,66,75.5,12.2,0,11,0,0,0
5/21/2021,86,67,76.5,12.8,0,12,0,0,0
5/22/2021,87,66,76.5,12.5,0,12,0,0,0
5/23/2021,82,59,70.5,6.2,0,6,T,0,0
5/24/2021,90,58,74,9.3,0,9,0,0,0
5/25/2021,87,73,80,15,0,15,T,0,0
5/26/2021,82,59,70.5,5.2,0,6,0.55,0,0
5/27/2021,63,51,57,-8.7,8,0,0.04,0,0
5/28/2021,51,45,48,-18,17,0,1.02,0,0
5/29/2021,61,46,53.5,-12.9,11,0,0,0,0
5/30/2021,69,41,55,-11.7,10,0,0,0,0
5/31/2021,71,55,63,-4,2,0,T,0,0
6/1/2021,76,51,63.5,-3.9,1,0,0,0,0
6/2/2021,78,56,67,-0.7,0,2,0,0,0
